BookLoan_TABLE_loan_id,REF_TABLE_book_id,REF_TABLE_student_id,BookLoan_TABLE_loan_date,BookLoan_TABLE_return_date,Book_TABLE_title,Book_TABLE_author,Book_TABLE_isbn,REF_TABLE_library_id,Library_TABLE_name,Library_TABLE_location,Student_TABLE_name,Student_TABLE_email,Student_TABLE_date_of_birth,Student_TABLE_major,Enrollment_TABLE_enrollment_id,Enrollment_TABLE_course_id,Enrollment_TABLE_semester,Enrollment_TABLE_grade,Submission_TABLE_submission_id,Submission_TABLE_assignment_id,Submission_TABLE_submission_date,Submission_TABLE_grade
22,22,587,2023-10-28,2025-09-18,Nor second use.,Kimberly Meyers,978-1-03-836494-4,22,"Duran, Mcpherson and Walker Library","2429 Jones Gardens
North Crystal, MO 67616",Jessica Cole DVM,torrestracy@example.net,2006-06-17,563,361,776,Spring 2019,,774,141,2022-10-01 10:16:41,B
22,22,587,2023-10-28,2025-09-18,Nor second use.,Kimberly Meyers,978-1-03-836494-4,22,"Duran, Mcpherson and Walker Library","2429 Jones Gardens
North Crystal, MO 67616",Jessica Cole DVM,torrestracy@example.net,2006-06-17,563,874,900,Summer 2023,B,774,141,2022-10-01 10:16:41,B
30,30,378,2023-11-08,2025-06-22,Many real.,Carrie Cisneros,978-0-06-931074-6,30,Roach Group Library,"613 Kathleen Green
Aaronborough, NC 02298",Jessica Kelley,morriswayne@example.net,1998-02-03,640,183,965,Winter 2019,B,14,221,2022-12-08 03:04:24,F
30,30,378,2023-11-08,2025-06-22,Many real.,Carrie Cisneros,978-0-06-931074-6,30,Roach Group Library,"613 Kathleen Green
Aaronborough, NC 02298",Jessica Kelley,morriswayne@example.net,1998-02-03,640,183,965,Winter 2019,B,883,705,2022-12-12 18:30:10,B
30,30,378,2023-11-08,2025-06-22,Many real.,Carrie Cisneros,978-0-06-931074-6,30,Roach Group Library,"613 Kathleen Green
Aaronborough, NC 02298",Jessica Kelley,morriswayne@example.net,1998-02-03,640,183,965,Winter 2019,B,1097,462,2022-09-17 12:15:54,F
35,35,378,2023-11-08,2024-12-25,And late Mr.,Herbert Goodwin,978-0-416-78226-4,35,Riggs Ltd Library,"916 Rodriguez Spring
West Davidmouth, AZ 76422",Jessica Kelley,morriswayne@example.net,1998-02-03,640,183,965,Winter 2019,B,14,221,2022-12-08 03:04:24,F
35,35,378,2023-11-08,2024-12-25,And late Mr.,Herbert Goodwin,978-0-416-78226-4,35,Riggs Ltd Library,"916 Rodriguez Spring
West Davidmouth, AZ 76422",Jessica Kelley,morriswayne@example.net,1998-02-03,640,183,965,Winter 2019,B,883,705,2022-12-12 18:30:10,B
35,35,378,2023-11-08,2024-12-25,And late Mr.,Herbert Goodwin,978-0-416-78226-4,35,Riggs Ltd Library,"916 Rodriguez Spring
West Davidmouth, AZ 76422",Jessica Kelley,morriswayne@example.net,1998-02-03,640,183,965,Winter 2019,B,1097,462,2022-09-17 12:15:54,F
112,112,378,2023-12-19,2024-12-28,Pick official.,Nicole Villarreal,978-0-447-24122-8,112,Mueller Inc Library,"720 Bartlett Prairie Apt. 894
New Carlosport, UT 76779",Jessica Kelley,morriswayne@example.net,1998-02-03,640,183,965,Winter 2019,B,14,221,2022-12-08 03:04:24,F
112,112,378,2023-12-19,2024-12-28,Pick official.,Nicole Villarreal,978-0-447-24122-8,112,Mueller Inc Library,"720 Bartlett Prairie Apt. 894
New Carlosport, UT 76779",Jessica Kelley,morriswayne@example.net,1998-02-03,640,183,965,Winter 2019,B,883,705,2022-12-12 18:30:10,B
112,112,378,2023-12-19,2024-12-28,Pick official.,Nicole Villarreal,978-0-447-24122-8,112,Mueller Inc Library,"720 Bartlett Prairie Apt. 894
New Carlosport, UT 76779",Jessica Kelley,morriswayne@example.net,1998-02-03,640,183,965,Winter 2019,B,1097,462,2022-09-17 12:15:54,F
31,31,550,2023-12-31,2025-08-27,Box Mr.,Jason Gillespie,978-1-79791-103-8,31,Smith-Floyd Library,"9108 Barr Alley
South Monicachester, AS 75311",Samantha Burke,jacobsdawn@example.com,2005-09-20,853,731,47,Winter 2023,,905,578,2022-12-10 00:09:09,A
31,31,550,2023-12-31,2025-08-27,Box Mr.,Jason Gillespie,978-1-79791-103-8,31,Smith-Floyd Library,"9108 Barr Alley
South Monicachester, AS 75311",Samantha Burke,jacobsdawn@example.com,2005-09-20,853,731,47,Winter 2023,,957,608,2022-07-13 13:24:26,D
31,31,550,2023-12-31,2025-08-27,Box Mr.,Jason Gillespie,978-1-79791-103-8,31,Smith-Floyd Library,"9108 Barr Alley
South Monicachester, AS 75311",Samantha Burke,jacobsdawn@example.com,2005-09-20,853,731,47,Winter 2023,,962,200,2022-04-14 23:21:23,I
34,34,160,2023-12-04,2025-07-28,Sport he hundred.,Deborah Nicholson,978-0-8077-5316-3,34,Lin-Patton Library,"Unit 0230 Box 3414
DPO AE 15525",Richard White,devans@example.net,2003-05-17,882,327,826,Spring 2023,D,1043,155,2022-05-27 00:56:38,I
34,34,160,2023-12-04,2025-07-28,Sport he hundred.,Deborah Nicholson,978-0-8077-5316-3,34,Lin-Patton Library,"Unit 0230 Box 3414
DPO AE 15525",Richard White,devans@example.net,2003-05-17,882,355,357,Fall 2020,B,1043,155,2022-05-27 00:56:38,I
378,378,160,2024-09-07,2025-04-20,Back close practice.,Eric Scott,978-0-477-98749-3,378,Hamilton-Thomas Library,"80359 Melissa Ramp
New Joel, VA 65291",Richard White,devans@example.net,2003-05-17,882,327,826,Spring 2023,D,1043,155,2022-05-27 00:56:38,I
378,378,160,2024-09-07,2025-04-20,Back close practice.,Eric Scott,978-0-477-98749-3,378,Hamilton-Thomas Library,"80359 Melissa Ramp
New Joel, VA 65291",Richard White,devans@example.net,2003-05-17,882,355,357,Fall 2020,B,1043,155,2022-05-27 00:56:38,I
791,791,160,2024-08-24,2024-11-28,Do almost himself.,Jonathan Walker,978-1-223-53084-0,791,"Richardson, Jones and Lee Library","55512 Joshua Cliffs
East Lucas, NV 51891",Richard White,devans@example.net,2003-05-17,882,327,826,Spring 2023,D,1043,155,2022-05-27 00:56:38,I
791,791,160,2024-08-24,2024-11-28,Do almost himself.,Jonathan Walker,978-1-223-53084-0,791,"Richardson, Jones and Lee Library","55512 Joshua Cliffs
East Lucas, NV 51891",Richard White,devans@example.net,2003-05-17,882,355,357,Fall 2020,B,1043,155,2022-05-27 00:56:38,I
909,909,160,2023-12-02,2025-06-14,Keep eat.,Martin Barron,978-1-72979-538-5,909,"French, Crane and Smith Library","Unit 7741 Box 3206
DPO AE 54937",Richard White,devans@example.net,2003-05-17,882,327,826,Spring 2023,D,1043,155,2022-05-27 00:56:38,I
909,909,160,2023-12-02,2025-06-14,Keep eat.,Martin Barron,978-1-72979-538-5,909,"French, Crane and Smith Library","Unit 7741 Box 3206
DPO AE 54937",Richard White,devans@example.net,2003-05-17,882,355,357,Fall 2020,B,1043,155,2022-05-27 00:56:38,I
36,36,715,2024-04-11,2024-11-19,Eye floor.,Amanda Rogers,978-1-85130-714-2,36,"Rogers, Wong and Wilson Library","5148 Nelson Circles
Davishaven, MI 26711",Bonnie Williams,christopherskinner@example.org,1997-01-08,691,565,865,Spring 2021,,165,209,2022-09-14 08:36:29,D
36,36,715,2024-04-11,2024-11-19,Eye floor.,Amanda Rogers,978-1-85130-714-2,36,"Rogers, Wong and Wilson Library","5148 Nelson Circles
Davishaven, MI 26711",Bonnie Williams,christopherskinner@example.org,1997-01-08,691,565,865,Spring 2021,,328,497,2022-08-25 08:35:12,A
36,36,715,2024-04-11,2024-11-19,Eye floor.,Amanda Rogers,978-1-85130-714-2,36,"Rogers, Wong and Wilson Library","5148 Nelson Circles
Davishaven, MI 26711",Bonnie Williams,christopherskinner@example.org,1997-01-08,691,565,865,Spring 2021,,912,606,2022-07-23 04:35:01,D
36,36,715,2024-04-11,2024-11-19,Eye floor.,Amanda Rogers,978-1-85130-714-2,36,"Rogers, Wong and Wilson Library","5148 Nelson Circles
Davishaven, MI 26711",Bonnie Williams,christopherskinner@example.org,1997-01-08,691,656,53,Summer 2023,B,165,209,2022-09-14 08:36:29,D
36,36,715,2024-04-11,2024-11-19,Eye floor.,Amanda Rogers,978-1-85130-714-2,36,"Rogers, Wong and Wilson Library","5148 Nelson Circles
Davishaven, MI 26711",Bonnie Williams,christopherskinner@example.org,1997-01-08,691,656,53,Summer 2023,B,328,497,2022-08-25 08:35:12,A
36,36,715,2024-04-11,2024-11-19,Eye floor.,Amanda Rogers,978-1-85130-714-2,36,"Rogers, Wong and Wilson Library","5148 Nelson Circles
Davishaven, MI 26711",Bonnie Williams,christopherskinner@example.org,1997-01-08,691,656,53,Summer 2023,B,912,606,2022-07-23 04:35:01,D
742,742,715,2024-06-13,2024-11-28,Because push.,Devin Mclaughlin,978-0-923439-46-0,742,Smith LLC Library,"050 Johnson Junctions
Lopezstad, NE 61663",Bonnie Williams,christopherskinner@example.org,1997-01-08,691,565,865,Spring 2021,,165,209,2022-09-14 08:36:29,D
742,742,715,2024-06-13,2024-11-28,Because push.,Devin Mclaughlin,978-0-923439-46-0,742,Smith LLC Library,"050 Johnson Junctions
Lopezstad, NE 61663",Bonnie Williams,christopherskinner@example.org,1997-01-08,691,565,865,Spring 2021,,328,497,2022-08-25 08:35:12,A
742,742,715,2024-06-13,2024-11-28,Because push.,Devin Mclaughlin,978-0-923439-46-0,742,Smith LLC Library,"050 Johnson Junctions
Lopezstad, NE 61663",Bonnie Williams,christopherskinner@example.org,1997-01-08,691,565,865,Spring 2021,,912,606,2022-07-23 04:35:01,D
742,742,715,2024-06-13,2024-11-28,Because push.,Devin Mclaughlin,978-0-923439-46-0,742,Smith LLC Library,"050 Johnson Junctions
Lopezstad, NE 61663",Bonnie Williams,christopherskinner@example.org,1997-01-08,691,656,53,Summer 2023,B,165,209,2022-09-14 08:36:29,D
742,742,715,2024-06-13,2024-11-28,Because push.,Devin Mclaughlin,978-0-923439-46-0,742,Smith LLC Library,"050 Johnson Junctions
Lopezstad, NE 61663",Bonnie Williams,christopherskinner@example.org,1997-01-08,691,656,53,Summer 2023,B,328,497,2022-08-25 08:35:12,A
742,742,715,2024-06-13,2024-11-28,Because push.,Devin Mclaughlin,978-0-923439-46-0,742,Smith LLC Library,"050 Johnson Junctions
Lopezstad, NE 61663",Bonnie Williams,christopherskinner@example.org,1997-01-08,691,656,53,Summer 2023,B,912,606,2022-07-23 04:35:01,D
38,38,797,2024-01-20,2025-03-31,Month today.,Adam Montgomery,978-1-5031-6312-6,38,Holloway Inc Library,"6149 Sean Mills
Maxwelltown, NJ 60714",Cassandra Jackson,xwalker@example.org,2005-03-22,677,517,41,Summer 2023,,123,918,2022-08-06 17:46:24,I
39,39,677,2024-10-17,2025-07-21,Manage hair fire.,Hannah Harris,978-0-231-16194-7,39,Allen-Taylor Library,"1226 Moore Curve
Port Alexander, ND 20909",Mrs. Bethany Arroyo,abigailmartin@example.net,1998-04-24,215,452,304,Winter 2021,C,176,961,2022-06-28 11:35:20,D
40,40,339,2024-09-26,2024-12-14,Start water.,Pamela Robertson,978-1-107-76259-6,40,Young PLC Library,"9083 Williams Ways Apt. 880
Davisbury, GU 84367",Gail Schaefer,francoderek@example.org,2001-08-31,240,210,671,Summer 2019,D,620,342,2022-11-09 05:17:16,B
40,40,339,2024-09-26,2024-12-14,Start water.,Pamela Robertson,978-1-107-76259-6,40,Young PLC Library,"9083 Williams Ways Apt. 880
Davisbury, GU 84367",Gail Schaefer,francoderek@example.org,2001-08-31,240,331,743,Winter 2022,D,620,342,2022-11-09 05:17:16,B
40,40,339,2024-09-26,2024-12-14,Start water.,Pamela Robertson,978-1-107-76259-6,40,Young PLC Library,"9083 Williams Ways Apt. 880
Davisbury, GU 84367",Gail Schaefer,francoderek@example.org,2001-08-31,240,358,352,Spring 2020,B,620,342,2022-11-09 05:17:16,B
42,42,780,2023-11-22,2025-03-28,Talk recognize effort.,David Robinson,978-1-82353-954-0,42,"Rodriguez, King and Martinez Library","USNV Roman
FPO AE 47015",Paul Green,jgreene@example.net,2006-07-18,960,56,990,Spring 2021,C,207,212,2022-04-03 18:50:00,A
42,42,780,2023-11-22,2025-03-28,Talk recognize effort.,David Robinson,978-1-82353-954-0,42,"Rodriguez, King and Martinez Library","USNV Roman
FPO AE 47015",Paul Green,jgreene@example.net,2006-07-18,960,56,990,Spring 2021,C,1078,978,2022-09-25 14:22:36,C
47,47,498,2023-12-01,2025-02-14,Major information realize.,Keith Clark,978-0-664-18424-7,47,Joseph-Bautista Library,"38031 Pineda Squares Suite 630
Ortizport, WV 94176",Lauren King,awalker@example.com,1998-02-01,963,621,230,Spring 2020,F,445,14,2022-01-22 16:27:11,B
47,47,498,2023-12-01,2025-02-14,Major information realize.,Keith Clark,978-0-664-18424-7,47,Joseph-Bautista Library,"38031 Pineda Squares Suite 630
Ortizport, WV 94176",Lauren King,awalker@example.com,1998-02-01,963,621,230,Spring 2020,F,1073,158,2022-03-28 14:27:45,B
47,47,498,2023-12-01,2025-02-14,Major information realize.,Keith Clark,978-0-664-18424-7,47,Joseph-Bautista Library,"38031 Pineda Squares Suite 630
Ortizport, WV 94176",Lauren King,awalker@example.com,1998-02-01,963,958,132,Winter 2021,,445,14,2022-01-22 16:27:11,B
47,47,498,2023-12-01,2025-02-14,Major information realize.,Keith Clark,978-0-664-18424-7,47,Joseph-Bautista Library,"38031 Pineda Squares Suite 630
Ortizport, WV 94176",Lauren King,awalker@example.com,1998-02-01,963,958,132,Winter 2021,,1073,158,2022-03-28 14:27:45,B
50,50,498,2024-04-25,2025-01-11,International act.,Nicole Williams,978-1-104-51352-8,50,"Hill, Dixon and Taylor Library","781 Frank Hills Suite 866
North David, MT 09250",Lauren King,awalker@example.com,1998-02-01,963,621,230,Spring 2020,F,445,14,2022-01-22 16:27:11,B
50,50,498,2024-04-25,2025-01-11,International act.,Nicole Williams,978-1-104-51352-8,50,"Hill, Dixon and Taylor Library","781 Frank Hills Suite 866
North David, MT 09250",Lauren King,awalker@example.com,1998-02-01,963,621,230,Spring 2020,F,1073,158,2022-03-28 14:27:45,B
50,50,498,2024-04-25,2025-01-11,International act.,Nicole Williams,978-1-104-51352-8,50,"Hill, Dixon and Taylor Library","781 Frank Hills Suite 866
North David, MT 09250",Lauren King,awalker@example.com,1998-02-01,963,958,132,Winter 2021,,445,14,2022-01-22 16:27:11,B
50,50,498,2024-04-25,2025-01-11,International act.,Nicole Williams,978-1-104-51352-8,50,"Hill, Dixon and Taylor Library","781 Frank Hills Suite 866
North David, MT 09250",Lauren King,awalker@example.com,1998-02-01,963,958,132,Winter 2021,,1073,158,2022-03-28 14:27:45,B
911,911,498,2024-09-20,2025-07-10,Work into.,Jared Mcdonald,978-1-341-48946-4,911,Spencer-Bradford Library,"19773 Fernandez Course
West Rachel, OH 02883",Lauren King,awalker@example.com,1998-02-01,963,621,230,Spring 2020,F,445,14,2022-01-22 16:27:11,B
911,911,498,2024-09-20,2025-07-10,Work into.,Jared Mcdonald,978-1-341-48946-4,911,Spencer-Bradford Library,"19773 Fernandez Course
West Rachel, OH 02883",Lauren King,awalker@example.com,1998-02-01,963,621,230,Spring 2020,F,1073,158,2022-03-28 14:27:45,B
911,911,498,2024-09-20,2025-07-10,Work into.,Jared Mcdonald,978-1-341-48946-4,911,Spencer-Bradford Library,"19773 Fernandez Course
West Rachel, OH 02883",Lauren King,awalker@example.com,1998-02-01,963,958,132,Winter 2021,,445,14,2022-01-22 16:27:11,B
911,911,498,2024-09-20,2025-07-10,Work into.,Jared Mcdonald,978-1-341-48946-4,911,Spencer-Bradford Library,"19773 Fernandez Course
West Rachel, OH 02883",Lauren King,awalker@example.com,1998-02-01,963,958,132,Winter 2021,,1073,158,2022-03-28 14:27:45,B
49,49,876,2024-09-27,2025-08-16,Any half help.,Joel Garcia DDS,978-1-308-10452-2,49,"Anderson, Diaz and Cox Library","77728 Taylor Isle
East Jennifer, CA 67549",Brittany Ward,xjones@example.net,2005-01-16,208,597,623,Winter 2020,,125,980,2022-06-03 19:45:23,C
49,49,876,2024-09-27,2025-08-16,Any half help.,Joel Garcia DDS,978-1-308-10452-2,49,"Anderson, Diaz and Cox Library","77728 Taylor Isle
East Jennifer, CA 67549",Brittany Ward,xjones@example.net,2005-01-16,208,597,623,Winter 2020,,382,546,2022-02-09 01:53:09,I
49,49,876,2024-09-27,2025-08-16,Any half help.,Joel Garcia DDS,978-1-308-10452-2,49,"Anderson, Diaz and Cox Library","77728 Taylor Isle
East Jennifer, CA 67549",Brittany Ward,xjones@example.net,2005-01-16,208,645,333,Spring 2022,A,125,980,2022-06-03 19:45:23,C
49,49,876,2024-09-27,2025-08-16,Any half help.,Joel Garcia DDS,978-1-308-10452-2,49,"Anderson, Diaz and Cox Library","77728 Taylor Isle
East Jennifer, CA 67549",Brittany Ward,xjones@example.net,2005-01-16,208,645,333,Spring 2022,A,382,546,2022-02-09 01:53:09,I
446,446,876,2024-03-29,2025-06-19,Economic our provide.,Hannah Ramirez,978-1-59458-866-2,446,Smith PLC Library,"40402 Miguel Field
Lisatown, AS 35631",Brittany Ward,xjones@example.net,2005-01-16,208,597,623,Winter 2020,,125,980,2022-06-03 19:45:23,C
446,446,876,2024-03-29,2025-06-19,Economic our provide.,Hannah Ramirez,978-1-59458-866-2,446,Smith PLC Library,"40402 Miguel Field
Lisatown, AS 35631",Brittany Ward,xjones@example.net,2005-01-16,208,597,623,Winter 2020,,382,546,2022-02-09 01:53:09,I
446,446,876,2024-03-29,2025-06-19,Economic our provide.,Hannah Ramirez,978-1-59458-866-2,446,Smith PLC Library,"40402 Miguel Field
Lisatown, AS 35631",Brittany Ward,xjones@example.net,2005-01-16,208,645,333,Spring 2022,A,125,980,2022-06-03 19:45:23,C
446,446,876,2024-03-29,2025-06-19,Economic our provide.,Hannah Ramirez,978-1-59458-866-2,446,Smith PLC Library,"40402 Miguel Field
Lisatown, AS 35631",Brittany Ward,xjones@example.net,2005-01-16,208,645,333,Spring 2022,A,382,546,2022-02-09 01:53:09,I
728,728,876,2023-12-09,2025-06-17,Serve view.,Justin Miranda,978-1-114-73560-6,728,Diaz-Brown Library,"15608 Stevenson Turnpike Apt. 677
Alejandroland, MA 43004",Brittany Ward,xjones@example.net,2005-01-16,208,597,623,Winter 2020,,125,980,2022-06-03 19:45:23,C
728,728,876,2023-12-09,2025-06-17,Serve view.,Justin Miranda,978-1-114-73560-6,728,Diaz-Brown Library,"15608 Stevenson Turnpike Apt. 677
Alejandroland, MA 43004",Brittany Ward,xjones@example.net,2005-01-16,208,597,623,Winter 2020,,382,546,2022-02-09 01:53:09,I
728,728,876,2023-12-09,2025-06-17,Serve view.,Justin Miranda,978-1-114-73560-6,728,Diaz-Brown Library,"15608 Stevenson Turnpike Apt. 677
Alejandroland, MA 43004",Brittany Ward,xjones@example.net,2005-01-16,208,645,333,Spring 2022,A,125,980,2022-06-03 19:45:23,C
728,728,876,2023-12-09,2025-06-17,Serve view.,Justin Miranda,978-1-114-73560-6,728,Diaz-Brown Library,"15608 Stevenson Turnpike Apt. 677
Alejandroland, MA 43004",Brittany Ward,xjones@example.net,2005-01-16,208,645,333,Spring 2022,A,382,546,2022-02-09 01:53:09,I
51,51,857,2024-09-24,2025-10-13,Even benefit.,Micheal Padilla,978-0-7404-1494-7,51,"Miller, Berry and Cowan Library","736 Hayes Mountain Suite 667
Cookmouth, AS 32507",Lori Thomas,umoore@example.net,2004-08-25,572,952,188,Fall 2023,B,264,282,2022-05-11 02:17:25,C
51,51,857,2024-09-24,2025-10-13,Even benefit.,Micheal Padilla,978-0-7404-1494-7,51,"Miller, Berry and Cowan Library","736 Hayes Mountain Suite 667
Cookmouth, AS 32507",Lori Thomas,umoore@example.net,2004-08-25,572,952,188,Fall 2023,B,624,104,2022-03-28 10:59:16,B
51,51,857,2024-09-24,2025-10-13,Even benefit.,Micheal Padilla,978-0-7404-1494-7,51,"Miller, Berry and Cowan Library","736 Hayes Mountain Suite 667
Cookmouth, AS 32507",Lori Thomas,umoore@example.net,2004-08-25,572,952,188,Fall 2023,B,683,837,2022-07-29 00:20:23,A
53,53,879,2023-11-26,2025-03-09,Window.,Sarah Cline,978-0-7582-5968-4,53,Guzman Ltd Library,"0531 Mark Forge
New Hayleyton, NE 38304",Kristin Alvarado,carrkelsey@example.net,2005-06-15,316,804,598,Winter 2023,B,696,996,2022-11-07 18:11:35,C
53,53,879,2023-11-26,2025-03-09,Window.,Sarah Cline,978-0-7582-5968-4,53,Guzman Ltd Library,"0531 Mark Forge
New Hayleyton, NE 38304",Kristin Alvarado,carrkelsey@example.net,2005-06-15,316,804,598,Winter 2023,B,858,274,2022-03-22 21:57:58,I
53,53,879,2023-11-26,2025-03-09,Window.,Sarah Cline,978-0-7582-5968-4,53,Guzman Ltd Library,"0531 Mark Forge
New Hayleyton, NE 38304",Kristin Alvarado,carrkelsey@example.net,2005-06-15,316,804,598,Winter 2023,B,862,222,2022-03-16 16:36:27,B
